text,label,url
በለንደን የሚገኝ የእስራኤል ኤምባሲን የሽብር ድርጊት ዒላማ በማድረግ የተጠረጠሩ ሰዎች ተያዙ,Politics,https://www.bbc.com/amharic/articles/c4gedd4l3pdo
አልካትራዝ፡ ትራምፕ በድጋሚ እንዲከፈት ስላዘዙት 'የአደገኛ ወንጀለኞች' እስር ቤት አምስት እውነታዎች,Politics,https://www.bbc.com/amharic/articles/c4g2nnvlpzyo
ሕንድ እና ፓኪስታን በተደጋጋሚ በካሽሚር ላይ የሚጋጩት ለምንድን ነው?,Politics,https://www.bbc.com/amharic/articles/c1drd2y7dp7o
ዶናልድ ትራምፕ አሜሪካ የሁቲ አማፂያን ላይ የምትፈጽመውን ጥቃት ልታቆም ነው አሉ,Politics,https://www.bbc.com/amharic/articles/cp313qgkqgno
አሜሪካ እና ቻይና የገቡበትን ውጥረት ለማርገብ በዚህ ሳምንት ሊነጋገሩ ነው,Politics,https://www.bbc.com/amharic/articles/c8epex6163go
የካናዳው ጠቅላይ ሚኒስትር አገራቸው በጭራሽ ለሽያጭ እንደማትቀርብ ለዶናልድ ትራምፕ ተናገሩ,Politics,https://www.bbc.com/amharic/articles/creqenr1q4eo
የጄኔራል አል ቡርሐን መቀመጫ በሆነችው ፖርት ሱዳን ለሦስት ተከታታይ ቀናት የድሮን ጥቃት ተፈጸመ,Politics,https://www.bbc.com/amharic/articles/c70z224n9yro
በዩክሬን የድሮን ጥቃት ምክንያት የሞስኮ አውሮፕላን ማረፊያዎች መዘጋታቸው ተገለጸ,Politics,https://www.bbc.com/amharic/articles/cg72lkkjkzdo
"የኬንያ መንግሥት በፕሬዚደንቱ ላይ ጫማ  የተወረወረበትን ክስተት ""አሳፋሪ' ሲል አወገዘ",Politics,https://www.bbc.com/amharic/articles/ce3vdjgge7go
ትራምፕ ለሦስተኛ ዙር ፕሬዝዳንት የመሆን ፍላጎት እንደሌላቸው ተናገሩ,Politics,https://www.bbc.com/amharic/articles/c15vevk3887o
በደቡብ ሱዳን በሆስፒታል እና በገበያ ቦታ በተፈፀመ የቦምብ ጥቃት ሰባት ሰዎች መገደላቸው ተገለጸ,Politics,https://www.bbc.com/amharic/articles/c4g21v0541lo
ቀጣዩ የኢራን እና የአሜሪካ የኒውክሌር ድርድር ተራዘመ,Politics,https://www.bbc.com/amharic/articles/cddevg0d5d4o
"የአሜሪካ ምክትል ፕሬዝዳንት በዩክሬን የሚካሄደው ጦርነት ""በቅርብ ጊዜ ውስጥ"" አይቆምም አሉ",Politics,https://www.bbc.com/amharic/articles/ce92e10v3xpo
ትራምፕ የብሔራዊ ደህንነት አማካሪያቸውን ከሥልጣን አንስተው ለተባበሩት መንግሥታት አምባሳደርነት በእጩነት አቀረቡ,Politics,https://www.bbc.com/amharic/articles/c5ypele47dno
